age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
29,technician,married,professional.course,no,no,no,telephone,may,fri,886,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,yes
31,technician,single,university.degree,no,no,no,telephone,oct,thu,154,1,999,0,nonexistent,-0.1,93.798,-40.4,4.794,5195.8,yes
44,entrepreneur,married,basic.4y,no,yes,no,cellular,may,tue,955,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,yes
51,blue-collar,married,high.school,no,yes,no,cellular,may,wed,809,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,yes
38,management,married,university.degree,no,yes,no,cellular,may,fri,1276,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,yes
59,unknown,married,unknown,unknown,no,no,telephone,jun,thu,701,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,yes
60,retired,married,unknown,no,yes,no,cellular,aug,mon,600,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
33,admin.,married,university.degree,no,yes,no,cellular,jun,tue,690,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
23,student,single,high.school,no,yes,no,cellular,oct,mon,226,2,999,1,failure,-1.1,94.601,-49.5,1.032,4963.6,yes
38,unemployed,married,basic.4y,unknown,no,no,cellular,jul,tue,1058,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
33,technician,married,professional.course,no,no,no,cellular,apr,thu,285,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
37,management,married,university.degree,no,yes,no,cellular,jul,fri,292,1,6,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes
31,technician,married,basic.9y,no,no,yes,cellular,jul,thu,1319,5,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes
36,technician,single,professional.course,no,no,no,cellular,jun,fri,146,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
77,management,married,unknown,no,yes,no,cellular,aug,fri,160,1,3,6,success,-1.7,94.027,-38.3,0.905,4991.6,yes
35,student,single,university.degree,unknown,no,no,telephone,jun,thu,618,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
40,technician,single,university.degree,no,no,no,cellular,nov,mon,130,1,7,2,failure,-3.4,92.649,-30.1,0.714,5017.5,yes
35,services,married,professional.course,no,yes,no,cellular,apr,thu,218,2,6,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes
54,admin.,married,university.degree,no,yes,yes,cellular,aug,fri,204,1,999,1,failure,-2.9,92.201,-31.4,0.849,5076.2,yes
27,services,single,high.school,unknown,no,no,cellular,jul,tue,509,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
42,admin.,married,high.school,no,no,no,cellular,nov,mon,651,2,999,1,failure,-0.1,93.2,-42,4.191,5195.8,yes
49,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,thu,1149,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,yes
31,student,single,university.degree,no,no,no,cellular,jul,fri,608,3,6,2,success,-1.7,94.215,-40.3,0.885,4991.6,yes
25,student,single,high.school,no,no,no,cellular,nov,thu,244,1,999,0,nonexistent,-1.1,94.767,-50.8,1.041,4963.6,yes
34,technician,married,university.degree,no,yes,no,cellular,nov,wed,686,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,yes
34,technician,single,university.degree,no,yes,yes,cellular,aug,wed,455,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
58,unemployed,married,university.degree,no,yes,no,cellular,nov,thu,344,2,999,0,nonexistent,-1.1,94.767,-50.8,1.041,4963.6,yes
30,technician,single,high.school,no,no,no,cellular,aug,mon,638,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
57,retired,married,basic.4y,no,yes,yes,telephone,apr,tue,1348,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
41,entrepreneur,married,university.degree,no,yes,no,cellular,aug,thu,324,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
86,retired,married,unknown,unknown,yes,yes,cellular,sep,tue,211,1,7,4,success,-1.1,94.199,-37.5,0.877,4963.6,yes
41,technician,married,professional.course,no,yes,no,cellular,nov,mon,545,2,999,0,nonexistent,-1.1,94.767,-50.8,1.039,4963.6,yes
42,services,married,university.degree,no,no,no,cellular,dec,wed,179,1,6,1,success,-3,92.713,-33,0.715,5023.5,yes
31,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,767,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
31,admin.,married,high.school,no,no,no,cellular,oct,thu,142,1,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
33,admin.,married,university.degree,no,yes,no,cellular,nov,fri,482,1,12,1,success,-1.1,94.767,-50.8,1.049,4963.6,yes
45,housemaid,single,basic.4y,no,no,no,telephone,sep,mon,569,4,999,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,yes
41,technician,married,high.school,no,no,no,cellular,aug,mon,697,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
75,retired,married,university.degree,no,yes,no,cellular,jul,thu,229,1,999,2,failure,-1.7,94.215,-40.3,0.81,4991.6,yes
47,admin.,single,university.degree,no,yes,no,cellular,jun,mon,243,4,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,yes
27,technician,single,university.degree,no,yes,no,cellular,oct,wed,184,1,999,1,failure,-1.1,94.601,-49.5,1.043,4963.6,yes
30,services,single,high.school,no,yes,no,cellular,jun,mon,181,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
41,admin.,married,university.degree,no,no,no,cellular,jul,mon,1360,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
48,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,544,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
21,student,single,high.school,no,yes,yes,cellular,jun,wed,286,2,999,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6,yes
64,unknown,married,unknown,no,yes,no,telephone,aug,fri,239,4,999,0,nonexistent,-1.7,94.027,-38.3,0.905,4991.6,yes
56,management,married,basic.9y,no,yes,no,telephone,jun,tue,941,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,64,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,yes
24,admin.,single,high.school,no,yes,yes,cellular,mar,wed,224,1,999,0,nonexistent,-1.8,92.843,-50,1.602,5099.1,yes
30,technician,single,university.degree,no,yes,no,cellular,sep,fri,173,2,15,4,failure,-1.1,94.199,-37.5,0.879,4963.6,yes
51,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,653,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
54,management,married,university.degree,no,no,no,cellular,may,mon,397,1,999,1,failure,-1.8,92.893,-46.2,1.264,5099.1,yes
26,student,single,basic.9y,no,yes,no,cellular,mar,mon,1447,2,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,yes
33,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,fri,1132,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
51,unemployed,married,basic.6y,no,no,no,cellular,jun,thu,280,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
33,technician,single,professional.course,no,yes,no,cellular,aug,tue,396,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
25,blue-collar,single,high.school,no,no,no,cellular,may,fri,1068,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
38,management,married,basic.9y,unknown,no,no,telephone,may,fri,772,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
54,admin.,single,university.degree,no,no,no,cellular,may,mon,337,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,yes
36,admin.,single,basic.9y,no,yes,no,cellular,may,tue,458,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
50,admin.,married,university.degree,no,no,no,cellular,aug,tue,587,2,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,yes
48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,288,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes
33,admin.,married,university.degree,no,yes,no,cellular,sep,thu,272,2,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,yes
41,services,married,high.school,unknown,yes,no,telephone,may,mon,679,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
39,self-employed,divorced,high.school,no,no,no,cellular,sep,tue,261,1,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,yes
52,management,married,high.school,no,yes,yes,cellular,aug,tue,167,1,10,4,failure,-2.9,92.201,-31.4,0.883,5076.2,yes
49,blue-collar,divorced,basic.6y,unknown,no,no,cellular,jul,mon,1065,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
50,technician,married,high.school,no,yes,no,cellular,dec,mon,229,1,999,1,failure,-3,92.713,-33,0.717,5023.5,yes
58,unknown,married,basic.9y,no,yes,no,cellular,dec,thu,154,1,999,1,failure,-3,92.713,-33,0.72,5023.5,yes
35,admin.,married,university.degree,no,no,no,cellular,jun,thu,121,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
29,admin.,single,university.degree,no,no,no,cellular,aug,mon,716,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
29,blue-collar,divorced,high.school,no,no,no,cellular,may,fri,760,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
36,blue-collar,single,basic.9y,no,yes,yes,telephone,jun,thu,762,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,yes
59,unemployed,married,basic.4y,unknown,yes,no,cellular,jul,thu,458,9,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
53,technician,married,university.degree,no,unknown,unknown,cellular,apr,thu,758,2,999,2,failure,-1.8,93.749,-34.6,0.64,5008.7,yes
59,admin.,divorced,high.school,unknown,no,yes,cellular,jul,mon,630,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
28,management,single,university.degree,no,no,no,telephone,jun,thu,651,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
30,admin.,single,university.degree,no,no,no,cellular,nov,fri,331,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes
37,admin.,single,high.school,no,no,no,cellular,jul,thu,609,2,7,3,success,-1.7,94.215,-40.3,0.782,4991.6,yes
55,retired,divorced,basic.4y,unknown,no,no,cellular,may,wed,526,4,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,yes
36,management,married,university.degree,no,unknown,unknown,cellular,sep,wed,331,1,6,4,failure,-1.1,94.199,-37.5,0.876,4963.6,yes
71,retired,married,high.school,no,no,no,cellular,sep,mon,363,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
58,admin.,single,university.degree,no,no,no,telephone,may,mon,1234,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
32,unemployed,married,professional.course,no,yes,no,telephone,nov,tue,486,1,999,0,nonexistent,-0.1,93.2,-42,4.343,5195.8,yes
27,admin.,single,university.degree,no,no,no,cellular,mar,tue,238,4,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,yes
39,technician,married,high.school,no,no,no,cellular,nov,fri,749,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes
31,admin.,single,university.degree,no,yes,no,cellular,jul,wed,1327,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
47,admin.,divorced,university.degree,no,yes,no,telephone,jun,fri,2653,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
32,admin.,single,high.school,no,no,no,cellular,apr,thu,1143,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
36,admin.,married,university.degree,no,yes,no,cellular,jul,wed,570,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
42,admin.,single,university.degree,no,yes,yes,telephone,may,wed,938,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,yes
51,unemployed,married,professional.course,unknown,yes,yes,cellular,jul,thu,901,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
68,retired,married,university.degree,no,yes,no,cellular,jul,mon,546,2,999,1,failure,-1.7,94.215,-40.3,0.889,4991.6,yes
33,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,728,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,yes
31,technician,married,university.degree,no,no,no,cellular,sep,thu,244,1,3,1,success,-1.1,94.199,-37.5,0.878,4963.6,yes
38,technician,married,university.degree,no,no,no,cellular,jun,wed,539,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
64,housemaid,married,unknown,no,yes,no,telephone,may,wed,671,3,999,0,nonexistent,-1.8,93.876,-40,0.697,5008.7,yes
51,blue-collar,married,basic.4y,unknown,no,yes,telephone,jun,tue,781,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
45,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,367,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
54,unemployed,married,basic.9y,no,no,no,cellular,may,wed,193,1,3,1,success,-1.8,92.893,-46.2,1.27,5099.1,yes
54,retired,married,basic.4y,no,no,yes,cellular,oct,thu,164,2,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
78,retired,married,basic.4y,no,no,no,cellular,jul,mon,1148,1,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,yes
27,services,single,high.school,no,no,no,cellular,jul,fri,423,3,999,0,nonexistent,-1.7,94.215,-40.3,0.79,4991.6,yes
38,blue-collar,single,university.degree,unknown,no,no,telephone,may,fri,894,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,yes
32,services,married,basic.4y,unknown,no,no,cellular,jul,mon,891,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
35,admin.,married,high.school,unknown,no,no,cellular,may,fri,585,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
26,technician,single,professional.course,no,yes,no,cellular,sep,fri,249,1,3,3,success,-1.1,94.199,-37.5,0.879,4963.6,yes
80,retired,married,basic.4y,no,no,no,cellular,may,mon,382,1,3,3,success,-1.8,93.876,-40,0.697,5008.7,yes
32,admin.,single,university.degree,no,yes,no,cellular,may,wed,412,1,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,yes
33,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,1183,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
44,services,divorced,high.school,no,no,no,cellular,may,mon,903,4,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
39,admin.,divorced,university.degree,no,no,yes,cellular,jul,mon,375,3,999,0,nonexistent,-1.7,94.215,-40.3,0.827,4991.6,yes
44,admin.,divorced,high.school,no,yes,no,telephone,nov,mon,1628,2,6,1,success,-3.4,92.649,-30.1,0.719,5017.5,yes
54,retired,married,basic.4y,no,yes,no,cellular,apr,fri,840,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
29,blue-collar,single,basic.9y,no,no,yes,cellular,oct,wed,107,2,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,yes
31,student,single,unknown,no,yes,no,cellular,aug,mon,868,3,18,3,failure,-1.7,94.027,-38.3,0.898,4991.6,yes
29,admin.,married,university.degree,no,no,yes,cellular,jun,tue,347,3,5,1,success,-1.7,94.055,-39.8,0.702,4991.6,yes
33,blue-collar,married,basic.6y,no,yes,no,cellular,apr,wed,351,3,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,yes
36,admin.,unknown,university.degree,no,yes,no,cellular,aug,wed,529,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
44,services,divorced,high.school,no,yes,no,cellular,may,thu,533,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
27,admin.,single,university.degree,no,yes,no,cellular,aug,wed,429,2,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
41,admin.,married,university.degree,no,no,no,cellular,aug,tue,766,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
29,services,single,high.school,no,yes,yes,cellular,jun,wed,431,2,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
37,technician,single,university.degree,no,yes,no,cellular,aug,tue,481,2,999,4,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
55,admin.,married,high.school,no,no,yes,cellular,apr,wed,307,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
50,blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,1130,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
48,management,married,university.degree,no,yes,yes,cellular,nov,tue,747,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
33,blue-collar,single,high.school,no,no,no,cellular,may,mon,2301,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
43,technician,married,professional.course,no,no,no,cellular,may,thu,460,1,999,1,failure,-1.8,93.876,-40,0.699,5008.7,yes
30,admin.,married,university.degree,no,yes,no,cellular,apr,tue,496,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,568,1,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,yes
47,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,1334,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
42,technician,married,professional.course,no,no,no,cellular,aug,thu,295,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes
41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
33,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,1019,11,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
51,admin.,married,university.degree,no,yes,no,cellular,aug,thu,212,1,999,0,nonexistent,-2.9,92.201,-31.4,0.829,5076.2,yes
36,management,divorced,university.degree,no,yes,no,cellular,jun,mon,422,1,3,4,success,-1.7,94.055,-39.8,0.72,4991.6,yes
86,retired,married,unknown,unknown,yes,no,cellular,sep,tue,340,1,999,0,nonexistent,-1.1,94.199,-37.5,0.877,4963.6,yes
37,technician,single,university.degree,no,yes,no,cellular,jun,fri,300,1,999,2,failure,-1.7,94.055,-39.8,0.748,4991.6,yes
30,self-employed,married,university.degree,no,no,no,cellular,jun,mon,212,4,999,0,nonexistent,-1.7,94.055,-39.8,0.72,4991.6,yes
31,self-employed,single,university.degree,no,no,no,cellular,dec,wed,854,1,999,0,nonexistent,-3,92.713,-33,0.715,5023.5,yes
28,unemployed,single,basic.9y,no,no,yes,cellular,aug,tue,261,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
42,technician,married,high.school,no,yes,no,cellular,apr,thu,163,1,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,yes
37,technician,married,university.degree,no,yes,no,cellular,oct,wed,364,1,999,1,failure,-3.4,92.431,-26.9,0.742,5017.5,yes
32,technician,single,university.degree,unknown,no,no,telephone,may,wed,857,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,yes
36,self-employed,single,university.degree,no,no,yes,cellular,jun,mon,458,1,4,4,success,-1.7,94.055,-39.8,0.72,4991.6,yes
32,unemployed,single,professional.course,no,yes,yes,cellular,jun,wed,310,1,999,0,nonexistent,-1.7,94.055,-39.8,0.704,4991.6,yes
76,retired,married,professional.course,unknown,yes,no,cellular,jun,tue,352,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,yes
56,technician,divorced,university.degree,no,no,no,cellular,nov,fri,178,2,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes
31,student,single,unknown,no,no,no,cellular,may,thu,243,2,999,1,failure,-1.8,93.876,-40,0.677,5008.7,yes
41,admin.,married,university.degree,no,yes,no,cellular,nov,tue,95,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes
35,admin.,married,university.degree,no,yes,no,cellular,apr,thu,330,1,10,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes
40,unemployed,single,basic.4y,no,no,no,cellular,jun,tue,355,1,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
29,admin.,single,university.degree,no,no,no,cellular,jul,wed,873,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
39,admin.,married,basic.6y,unknown,no,no,cellular,jul,wed,1176,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
